"County","People with at least one vaccine dose","People with completed vaccine series","reportedDate","webDate"
"AITKIN",9523,9048,"1/24/2022",2022-01-26
"ANOKA",237739,222786,"1/24/2022",2022-01-26
"BECKER",19087,17964,"1/24/2022",2022-01-26
"BELTRAMI",27909,25716,"1/24/2022",2022-01-26
"BENTON",21020,19672,"1/24/2022",2022-01-26
"BIG STONE",3074,2974,"1/24/2022",2022-01-26
"BLUE EARTH",42532,39877,"1/24/2022",2022-01-26
"BROWN",16311,15603,"1/24/2022",2022-01-26
"CARLTON",24776,23342,"1/24/2022",2022-01-26
"CARVER",76973,72614,"1/24/2022",2022-01-26
"CASS",17317,16113,"1/24/2022",2022-01-26
"CHIPPEWA",6836,6449,"1/24/2022",2022-01-26
"CHISAGO",31663,29906,"1/24/2022",2022-01-26
"CLAY",38136,35118,"1/24/2022",2022-01-26
"CLEARWATER",3632,3398,"1/24/2022",2022-01-26
"COOK",4579,4348,"1/24/2022",2022-01-26
"COTTONWOOD",6539,6201,"1/24/2022",2022-01-26
"CROW WING",37150,34959,"1/24/2022",2022-01-26
"DAKOTA",322545,302835,"1/24/2022",2022-01-26
"DODGE",13180,12530,"1/24/2022",2022-01-26
"DOUGLAS",22302,21056,"1/24/2022",2022-01-26
"FARIBAULT",7767,7333,"1/24/2022",2022-01-26
"FILLMORE",13186,12645,"1/24/2022",2022-01-26
"FREEBORN",18520,17355,"1/24/2022",2022-01-26
"GOODHUE",30904,29324,"1/24/2022",2022-01-26
"GRANT",3274,3059,"1/24/2022",2022-01-26
"HENNEPIN",972668,905800,"1/24/2022",2022-01-26
"HOUSTON",12331,11724,"1/24/2022",2022-01-26
"HUBBARD",11475,10727,"1/24/2022",2022-01-26
"ISANTI",19663,18387,"1/24/2022",2022-01-26
"ITASCA",26418,25065,"1/24/2022",2022-01-26
"JACKSON",5416,5149,"1/24/2022",2022-01-26
"KANABEC",7882,7396,"1/24/2022",2022-01-26
"KANDIYOHI",24182,22667,"1/24/2022",2022-01-26
"KITTSON",2521,2391,"1/24/2022",2022-01-26
"KOOCHICHING",7132,6806,"1/24/2022",2022-01-26
"LAC QUI PARLE",4161,3983,"1/24/2022",2022-01-26
"LAKE",7510,7175,"1/24/2022",2022-01-26
"LAKE OF THE WOODS",2181,2065,"1/24/2022",2022-01-26
"LE SUEUR",17271,16242,"1/24/2022",2022-01-26
"LINCOLN",3149,3012,"1/24/2022",2022-01-26
"LYON",14535,13687,"1/24/2022",2022-01-26
"MAHNOMEN",3005,2801,"1/24/2022",2022-01-26
"MARSHALL",4826,4601,"1/24/2022",2022-01-26
"MARTIN",11017,10424,"1/24/2022",2022-01-26
"MCLEOD",21322,20028,"1/24/2022",2022-01-26
"MEEKER",11652,11022,"1/24/2022",2022-01-26
"MILLE LACS",12784,11776,"1/24/2022",2022-01-26
"MORRISON",16337,15288,"1/24/2022",2022-01-26
"MOWER",25556,23883,"1/24/2022",2022-01-26
"MURRAY",4851,4614,"1/24/2022",2022-01-26
"NICOLLET",22908,21692,"1/24/2022",2022-01-26
"NOBLES",13385,12540,"1/24/2022",2022-01-26
"NORMAN",3930,3719,"1/24/2022",2022-01-26
"OLMSTED",126404,119661,"1/24/2022",2022-01-26
"OTTER TAIL",33356,31236,"1/24/2022",2022-01-26
"PENNINGTON",8258,7810,"1/24/2022",2022-01-26
"PINE",14262,13292,"1/24/2022",2022-01-26
"PIPESTONE",4933,4615,"1/24/2022",2022-01-26
"POLK",17333,16183,"1/24/2022",2022-01-26
"POPE",6423,6041,"1/24/2022",2022-01-26
"RAMSEY",402195,373631,"1/24/2022",2022-01-26
"RED LAKE",2302,2180,"1/24/2022",2022-01-26
"REDWOOD",8489,8063,"1/24/2022",2022-01-26
"RENVILLE",8134,7667,"1/24/2022",2022-01-26
"RICE",42453,39815,"1/24/2022",2022-01-26
"ROCK",4909,4557,"1/24/2022",2022-01-26
"ROSEAU",7976,7570,"1/24/2022",2022-01-26
"SCOTT",104542,98096,"1/24/2022",2022-01-26
"SHERBURNE",50436,47252,"1/24/2022",2022-01-26
"SIBLEY",8046,7589,"1/24/2022",2022-01-26
"ST. LOUIS",136446,128435,"1/24/2022",2022-01-26
"STEARNS",87777,81830,"1/24/2022",2022-01-26
"STEELE",23001,21487,"1/24/2022",2022-01-26
"STEVENS",5683,5368,"1/24/2022",2022-01-26
"SWIFT",5442,5177,"1/24/2022",2022-01-26
"TODD",11238,10555,"1/24/2022",2022-01-26
"TRAVERSE",2074,1964,"1/24/2022",2022-01-26
"UNKNOWN/MISSING",1483,1269,"1/24/2022",2022-01-26
"WABASHA",13993,13310,"1/24/2022",2022-01-26
"WADENA",6410,6013,"1/24/2022",2022-01-26
"WASECA",10885,10282,"1/24/2022",2022-01-26
"WASHINGTON",200647,189231,"1/24/2022",2022-01-26
"WATONWAN",6673,6179,"1/24/2022",2022-01-26
"WILKIN",3416,3194,"1/24/2022",2022-01-26
"WINONA",32143,30503,"1/24/2022",2022-01-26
"WRIGHT",78763,73786,"1/24/2022",2022-01-26
"YELLOW MEDICINE",5301,5015,"1/24/2022",2022-01-26
